SURVEY:  DEHVILS
SNID:  2020vnr
RA:        0.8189700  deg
DECL:       2.2521770  deg
MWEBV:    0.032 +- 0.002 MW E(B-V)
REDSHIFT_HELIO: 0.090000 +- 0.0001
REDSHIFT_FINAL: 0.088696 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59143.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 19
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59137.41 Y NULL  2383.904 126.452 19.057 0.056 0x00
OBS: 59141.39 Y NULL  2234.955 132.564 19.127 0.063 0x00
OBS: 59145.28 Y NULL  1533.198 124.488 19.536 0.086 0x00
OBS: 59154.34 Y NULL  1167.887 142.474 19.831 0.129 0x00
OBS: 59161.37 Y NULL  1310.822 103.906 19.706 0.084 0x00
OBS: 59167.30 Y NULL  1480.969 160.619 19.574 0.115 0x00
OBS: 59139.35 J NULL  2066.513 235.908 19.212 0.124 0x00
OBS: 59139.35 J NULL  1850.447 235.806 19.332 0.138 0x00
OBS: 59142.38 J NULL  1496.153 222.791 19.563 0.162 0x00
OBS: 59147.47 J NULL  888.225 236.735 20.129 0.289 0x00
OBS: 59154.35 J NULL  500.465 255.347 20.752 0.554 0x00
OBS: 59161.38 J NULL  411.480 237.559 20.964 0.627 0x00
OBS: 59167.31 J NULL  233.166 216.760 21.581 1.009 0x00
OBS: 59137.42 H NULL  1957.360 329.824 19.271 0.183 0x00
OBS: 59141.39 H NULL  1236.672 394.702 19.769 0.347 0x00
OBS: 59145.29 H NULL  1139.870 379.826 19.858 0.362 0x00
OBS: 59154.35 H NULL  568.599 307.002 20.613 0.586 0x00
OBS: 59161.38 H NULL  261.475 363.158 21.456 1.508 0x00
OBS: 59167.31 H NULL  824.891 325.988 20.209 0.429 0x00
END:
