SURVEY:  DEHVILS
SNID:  2020vwv
RA:        103.8355830  deg
DECL:       -36.3797000  deg
MWEBV:    0.171 +- 0.009 MW E(B-V)
REDSHIFT_HELIO: 0.031860 +- 0.0001
REDSHIFT_FINAL: 0.032395 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59148.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 12
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59147.58 Y NULL  13023.641 143.150 17.213 0.012 0x00
OBS: 59157.59 Y NULL  7854.765 206.054 17.762 0.028 0x00
OBS: 59160.60 Y NULL  8018.390 203.643 17.74 0.027 0x00
OBS: 59167.57 Y NULL  10757.438 137.967 17.421 0.014 0x00
OBS: 59140.61 J NULL  15126.159 475.343 17.051 0.034 0x00
OBS: 59145.65 J NULL  16727.456 514.200 16.941 0.033 0x00
OBS: 59156.64 J NULL  6831.174 473.484 17.914 0.075 0x00
OBS: 59167.57 J NULL  4133.524 241.008 18.459 0.063 0x00
OBS: 59147.58 H NULL  12812.583 564.095 17.231 0.048 0x00
OBS: 59157.59 H NULL  8555.610 525.397 17.669 0.067 0x00
OBS: 59160.60 H NULL  8760.545 604.487 17.644 0.075 0x00
OBS: 59167.58 H NULL  10276.947 485.154 17.470 0.051 0x00
END:
