SURVEY:  DEHVILS
SNID:  2020wcj
RA:        43.2096250  deg
DECL:       -1.2310310  deg
MWEBV:    0.055 +- 0.003 MW E(B-V)
REDSHIFT_HELIO: 0.023860 +- 0.0001
REDSHIFT_FINAL: 0.023150 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59149.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 17
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59145.38 Y NULL  24450.992 210.637 16.529 0.009 0x00
OBS: 59157.56 Y NULL  11876.731 223.675 17.313 0.020 0x00
OBS: 59160.57 Y NULL  12927.834 215.782 17.221 0.018 0x00
OBS: 59161.55 Y NULL  13332.578 185.508 17.188 0.015 0x00
OBS: 59167.28 Y NULL  20934.563 222.965 16.698 0.011 0x00
OBS: 59173.45 Y NULL  27862.271 197.478 16.387 0.007 0x00
OBS: 59148.40 J NULL  21615.546 424.939 16.663 0.021 0x00
OBS: 59157.47 J NULL  5133.608 412.151 18.224 0.087 0x00
OBS: 59160.41 J NULL  5205.938 585.355 18.209 0.122 0x00
OBS: 59161.53 J NULL  4746.626 328.987 18.309 0.075 0x00
OBS: 59167.28 J NULL  7805.465 183.728 17.769 0.026 0x00
OBS: 59173.46 J NULL  10998.555 130.008 17.397 0.013 0x00
OBS: 59145.38 H NULL  22474.843 257.729 16.621 0.012 0x00
OBS: 59157.56 H NULL  12449.468 417.022 17.262 0.036 0x00
OBS: 59161.55 H NULL  13721.764 337.546 17.156 0.027 0x00
OBS: 59167.29 H NULL  18461.063 346.331 16.834 0.020 0x00
OBS: 59173.46 H NULL  17931.436 221.201 16.866 0.013 0x00
END:
