SURVEY:  DEHVILS
SNID:  2020wgr
RA:        125.9155830  deg
DECL:       -0.1683310  deg
MWEBV:    0.040 +- 0.002 MW E(B-V)
REDSHIFT_HELIO: 0.034964 +- 0.0001
REDSHIFT_FINAL: 0.035906 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59148.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 16
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59141.62 Y NULL  9916.115 177.089 17.509 0.019 0x00
OBS: 59144.65 Y NULL  10042.551 165.149 17.495 0.017 0x00
OBS: 59147.57 Y NULL  8715.610 168.446 17.649 0.020 0x00
OBS: 59154.53 Y NULL  5902.311 201.151 18.072 0.036 0x00
OBS: 59160.61 Y NULL  4909.148 186.037 18.272 0.040 0x00
OBS: 59140.62 J NULL  9276.991 269.256 17.581 0.032 0x00
OBS: 59147.65 J NULL  9274.746 474.744 17.582 0.056 0x00
OBS: 59154.53 J NULL  5186.884 190.613 18.213 0.040 0x00
OBS: 59156.65 J NULL  3349.481 294.148 18.688 0.095 0x00
OBS: 59160.62 J NULL  2058.235 187.259 19.216 0.099 0x00
OBS: 59167.50 J NULL  2594.694 222.616 18.965 0.093 0x00
OBS: 59141.63 H NULL  9581.108 592.450 17.546 0.067 0x00
OBS: 59144.65 H NULL  8933.613 1000.627 17.622 0.122 0x00
OBS: 59147.57 H NULL  7321.575 520.137 17.838 0.077 0x00
OBS: 59154.54 H NULL  5449.183 529.954 18.159 0.106 0x00
OBS: 59160.62 H NULL  5236.406 949.505 18.202 0.197 0x00
END:
