SURVEY:  DEHVILS
SNID:  2020wtq
RA:        18.2836040  deg
DECL:       28.6770040  deg
MWEBV:    0.049 +- 0.002 MW E(B-V)
REDSHIFT_HELIO: 0.007000 +- 0.0001
REDSHIFT_FINAL: 0.005996 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59149.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 15
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59145.29 Y NULL  12162.691 96.202 17.287 0.008 0x00
OBS: 59148.37 Y NULL  9701.312 106.549 17.533 0.012 0x00
OBS: 59158.49 Y NULL  5262.535 126.585 18.197 0.025 0x00
OBS: 59163.32 Y NULL  5580.833 105.687 18.133 0.020 0x00
OBS: 59173.35 Y NULL  9608.958 100.584 17.543 0.011 0x00
OBS: 59139.40 J NULL  9406.809 238.967 17.566 0.028 0x00
OBS: 59142.41 J NULL  12782.838 392.498 17.233 0.033 0x00
OBS: 59147.49 J NULL  11644.537 424.570 17.335 0.040 0x00
OBS: 59163.33 J NULL  2480.563 266.890 19.014 0.117 0x00
OBS: 59173.36 J NULL  3173.245 197.643 18.746 0.068 0x00
OBS: 59145.30 H NULL  9341.847 337.109 17.574 0.039 0x00
OBS: 59148.37 H NULL  8004.832 380.549 17.742 0.052 0x00
OBS: 59158.50 H NULL  4441.859 444.783 18.381 0.109 0x00
OBS: 59163.33 H NULL  5040.519 335.415 18.244 0.072 0x00
OBS: 59173.36 H NULL  6890.567 359.414 17.904 0.057 0x00
END:
