SURVEY:  DEHVILS
SNID:  2020ysl
RA:        121.4253330  deg
DECL:       -9.8145190  deg
MWEBV:    0.057 +- 0.003 MW E(B-V)
REDSHIFT_HELIO: 0.036419 +- 0.0001
REDSHIFT_FINAL: 0.037306 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59163.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 13
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59161.56 Y NULL  8936.318 102.159 17.622 0.012 0x00
OBS: 59164.54 Y NULL  7155.239 131.485 17.863 0.019 0x00
OBS: 59167.49 Y NULL  6301.661 105.345 18.001 0.018 0x00
OBS: 59172.62 Y NULL  4546.493 103.665 18.356 0.024 0x00
OBS: 59164.52 J NULL  6666.550 550.619 17.940 0.090 0x00
OBS: 59167.60 J NULL  4027.706 342.539 18.487 0.092 0x00
OBS: 59172.57 J NULL  1572.122 319.520 19.509 0.221 0x00
OBS: 59172.62 J NULL  2098.560 198.043 19.195 0.102 0x00
OBS: 59161.56 H NULL  7556.678 280.856 17.804 0.040 0x00
OBS: 59164.54 H NULL  6934.375 457.994 17.897 0.072 0x00
OBS: 59167.49 H NULL  5786.005 369.793 18.094 0.069 0x00
OBS: 59167.51 H NULL  5464.885 333.201 18.156 0.066 0x00
OBS: 59172.63 H NULL  4020.737 324.932 18.489 0.088 0x00
END:
