SURVEY:  DEHVILS
SNID:  2021aut
RA:        201.8141710  deg
DECL:       -26.7761110  deg
MWEBV:    0.048 +- 0.002 MW E(B-V)
REDSHIFT_HELIO: 0.044745 +- 0.0001
REDSHIFT_FINAL: 0.045764 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59245.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 17
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59247.57 Y NULL  4647.114 95.962 18.332 0.022 0x00
OBS: 59253.54 Y NULL  3281.119 92.467 18.71 0.030 0x00
OBS: 59256.53 Y NULL  3103.694 112.169 18.77 0.038 0x00
OBS: 59268.50 Y NULL  4362.583 224.860 18.401 0.054 0x00
OBS: 59268.53 Y NULL  4678.965 190.061 18.325 0.043 0x00
OBS: 59269.48 Y NULL  5391.983 101.784 18.171 0.020 0x00
OBS: 59276.61 Y NULL  7348.359 138.625 17.835 0.020 0x00
OBS: 59238.64 J NULL  9012.478 225.205 17.613 0.027 0x00
OBS: 59244.67 J NULL  7112.519 229.560 17.870 0.035 0x00
OBS: 59268.50 J NULL  1753.963 271.520 19.390 0.168 0x00
OBS: 59269.49 J NULL  1926.555 204.113 19.288 0.115 0x00
OBS: 59276.61 J NULL  2769.279 207.101 18.894 0.081 0x00
OBS: 59247.57 H NULL  4694.858 343.914 18.321 0.080 0x00
OBS: 59253.54 H NULL  4209.086 315.064 18.440 0.081 0x00
OBS: 59256.54 H NULL  4028.111 342.137 18.487 0.092 0x00
OBS: 59269.49 H NULL  5452.559 372.299 18.158 0.074 0x00
OBS: 59276.62 H NULL  5627.550 423.897 18.124 0.082 0x00
END:
