SURVEY:  DEHVILS
SNID:  2021bbz
RA:        176.3483330  deg
DECL:       20.3244610  deg
MWEBV:    0.020 +- 0.001 MW E(B-V)
REDSHIFT_HELIO: 0.023313 +- 0.0001
REDSHIFT_FINAL: 0.024423 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59252.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 14
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59253.38 Y NULL  19407.011 139.603 16.78 0.008 0x00
OBS: 59256.36 Y NULL  14815.644 263.933 17.073 0.019 0x00
OBS: 59257.53 Y NULL  18055.666 174.764 16.858 0.010 0x00
OBS: 59268.39 Y NULL  20971.001 196.419 16.696 0.010 0x00
OBS: 59276.54 Y NULL  34525.031 208.159 16.155 0.006 0x00
OBS: 59294.39 Y NULL  20652.921 124.747 16.713 0.006 0x00
OBS: 59252.61 J NULL  27730.961 443.242 16.393 0.017 0x00
OBS: 59276.55 J NULL  12450.269 234.896 17.262 0.020 0x00
OBS: 59294.40 J NULL  3319.803 242.493 18.697 0.079 0x00
OBS: 59253.39 H NULL  19530.949 431.733 16.773 0.024 0x00
OBS: 59257.54 H NULL  19399.814 339.126 16.781 0.019 0x00
OBS: 59268.40 H NULL  19426.359 326.071 16.779 0.018 0x00
OBS: 59276.55 H NULL  26127.194 293.737 16.457 0.012 0x00
OBS: 59294.41 H NULL  10889.314 376.577 17.407 0.038 0x00
END:
