SURVEY:  DEHVILS
SNID:  2021biz
RA:        184.1448130  deg
DECL:       33.5265310  deg
MWEBV:    0.010 +- 0.001 MW E(B-V)
REDSHIFT_HELIO: 0.021815 +- 0.0001
REDSHIFT_FINAL: 0.022733 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59258.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 14
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59247.47 Y NULL  16822.946 119.757 16.935 0.008 0x00
OBS: 59253.39 Y NULL  27316.164 128.759 16.409 0.005 0x00
OBS: 59256.47 Y NULL  24434.210 214.921 16.53 0.009 0x00
OBS: 59268.40 Y NULL  13427.565 164.789 17.18 0.013 0x00
OBS: 59273.58 Y NULL  16549.679 189.056 16.953 0.012 0x00
OBS: 59253.56 J NULL  30304.072 322.371 16.296 0.012 0x00
OBS: 59257.40 J NULL  26615.366 317.099 16.437 0.013 0x00
OBS: 59268.41 J NULL  7159.429 212.998 17.863 0.032 0x00
OBS: 59273.59 J NULL  6721.195 276.557 17.931 0.045 0x00
OBS: 59247.48 H NULL  16226.672 379.773 16.974 0.025 0x00
OBS: 59253.40 H NULL  23285.407 449.485 16.582 0.021 0x00
OBS: 59256.48 H NULL  21829.248 361.521 16.652 0.018 0x00
OBS: 59268.41 H NULL  14324.502 304.704 17.110 0.023 0x00
OBS: 59273.59 H NULL  16614.604 376.757 16.949 0.025 0x00
END:
