SURVEY:  DEHVILS
SNID:  2021bjy
RA:        132.3892920  deg
DECL:       50.8676890  deg
MWEBV:    0.021 +- 0.001 MW E(B-V)
REDSHIFT_HELIO: 0.027257 +- 0.0001
REDSHIFT_FINAL: 0.027784 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59251.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 14
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59246.46 Y NULL  18851.485 103.779 16.812 0.006 0x00
OBS: 59251.30 Y NULL  14112.174 124.865 17.126 0.009 0x00
OBS: 59254.42 Y NULL  11360.794 150.138 17.361 0.014 0x00
OBS: 59268.34 Y NULL  14032.250 153.818 17.132 0.012 0x00
OBS: 59277.35 Y NULL  17287.998 99.573 16.906 0.006 0x00
OBS: 59253.36 J NULL  13432.160 530.274 17.180 0.043 0x00
OBS: 59256.32 J NULL  7052.089 605.431 17.879 0.093 0x00
OBS: 59268.35 J NULL  5714.098 302.800 18.108 0.058 0x00
OBS: 59277.35 J NULL  6288.559 398.272 18.004 0.069 0x00
OBS: 59246.46 H NULL  16799.630 273.919 16.937 0.018 0x00
OBS: 59251.31 H NULL  12902.952 429.175 17.223 0.036 0x00
OBS: 59254.42 H NULL  10925.339 399.020 17.404 0.040 0x00
OBS: 59268.35 H NULL  12596.710 261.526 17.249 0.023 0x00
OBS: 59277.36 H NULL  10338.408 393.187 17.464 0.041 0x00
END:
