SURVEY:  DEHVILS
SNID:  2021bkw
RA:        215.3067250  deg
DECL:       20.7149970  deg
MWEBV:    0.032 +- 0.002 MW E(B-V)
REDSHIFT_HELIO: 0.018193 +- 0.0001
REDSHIFT_FINAL: 0.018929 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59252.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 15
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59247.50 Y NULL  36112.358 186.484 16.106 0.005 0x00
OBS: 59252.67 Y NULL  27703.777 167.166 16.394 0.006 0x00
OBS: 59255.48 Y NULL  22599.301 143.135 16.615 0.007 0x00
OBS: 59267.61 Y NULL  20065.361 176.363 16.744 0.009 0x00
OBS: 59273.52 Y NULL  29100.971 105.627 16.34 0.004 0x00
OBS: 59247.51 J NULL  38019.855 473.436 16.050 0.014 0x00
OBS: 59253.58 J NULL  26674.840 309.866 16.435 0.013 0x00
OBS: 59256.66 J NULL  18201.344 404.783 16.850 0.024 0x00
OBS: 59267.62 J NULL  7648.944 301.640 17.791 0.043 0x00
OBS: 59273.52 J NULL  10462.971 276.132 17.451 0.029 0x00
OBS: 59247.50 H NULL  31807.662 435.224 16.244 0.015 0x00
OBS: 59252.67 H NULL  24437.661 256.782 16.530 0.011 0x00
OBS: 59255.49 H NULL  21928.852 408.840 16.647 0.020 0x00
OBS: 59267.63 H NULL  21090.545 347.409 16.690 0.018 0x00
OBS: 59273.53 H NULL  24067.943 329.744 16.546 0.015 0x00
END:
