SURVEY:  DEHVILS
SNID:  2021ble
RA:        174.7649580  deg
DECL:       -9.4103190  deg
MWEBV:    0.027 +- 0.001 MW E(B-V)
REDSHIFT_HELIO: 0.050527 +- 0.0001
REDSHIFT_FINAL: 0.051813 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59258.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 15
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59253.43 Y NULL  6544.578 122.228 17.96 0.020 0x00
OBS: 59256.61 Y NULL  5699.031 136.167 18.11 0.025 0x00
OBS: 59268.39 Y NULL  2908.123 95.375 18.841 0.035 0x00
OBS: 59277.40 Y NULL  3657.058 110.655 18.592 0.032 0x00
OBS: 59294.52 Y NULL  6174.220 104.658 18.024 0.018 0x00
OBS: 59253.52 J NULL  7072.606 278.922 17.876 0.043 0x00
OBS: 59256.52 J NULL  4721.663 487.109 18.315 0.112 0x00
OBS: 59268.38 J NULL  2276.958 333.086 19.107 0.159 0x00
OBS: 59277.41 J NULL  1313.525 196.440 19.704 0.162 0x00
OBS: 59294.52 J NULL  2380.875 173.582 19.058 0.079 0x00
OBS: 59253.44 H NULL  5014.892 388.422 18.249 0.084 0x00
OBS: 59256.61 H NULL  5026.468 325.778 18.247 0.070 0x00
OBS: 59268.39 H NULL  2511.114 322.801 19.000 0.140 0x00
OBS: 59277.41 H NULL  3040.370 375.396 18.793 0.134 0x00
OBS: 59294.52 H NULL  4058.284 410.675 18.479 0.110 0x00
END:
