SURVEY:  DEHVILS
SNID:  2021dnm
RA:        189.3508880  deg
DECL:       23.0935390  deg
MWEBV:    0.012 +- 0.001 MW E(B-V)
REDSHIFT_HELIO: 0.046072 +- 0.0001
REDSHIFT_FINAL: 0.047108 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59281.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 17
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59276.53 Y NULL  6627.999 151.087 17.947 0.024 0x00
OBS: 59294.39 Y NULL  3277.514 135.319 18.711 0.044 0x00
OBS: 59299.53 Y NULL  4010.893 109.760 18.492 0.029 0x00
OBS: 59305.43 Y NULL  4703.224 197.412 18.319 0.044 0x00
OBS: 59312.33 Y NULL  6507.199 186.969 17.967 0.030 0x00
OBS: 59317.43 Y NULL  6557.178 120.122 17.958 0.019 0x00
OBS: 59271.57 J NULL  5694.319 212.721 18.111 0.041 0x00
OBS: 59276.43 J NULL  7156.398 176.566 17.863 0.027 0x00
OBS: 59276.44 J NULL  7249.446 204.061 17.849 0.031 0x00
OBS: 59305.44 J NULL  2411.466 174.634 19.044 0.079 0x00
OBS: 59312.33 J NULL  2462.371 164.470 19.022 0.073 0x00
OBS: 59317.44 J NULL  3081.272 211.306 18.778 0.074 0x00
OBS: 59276.53 H NULL  5578.468 257.031 18.134 0.050 0x00
OBS: 59299.54 H NULL  3652.409 288.664 18.594 0.086 0x00
OBS: 59305.44 H NULL  4268.889 291.201 18.424 0.074 0x00
OBS: 59312.33 H NULL  4148.321 290.753 18.455 0.076 0x00
OBS: 59317.44 H NULL  2796.674 370.563 18.883 0.144 0x00
END:
