SURVEY:  DEHVILS
SNID:  2021fof
RA:        212.0533100  deg
DECL:       -8.8327100  deg
MWEBV:    0.035 +- 0.002 MW E(B-V)
REDSHIFT_HELIO: 0.040000 +- 0.0001
REDSHIFT_FINAL: 0.040928 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59300.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 21
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59294.53 Y NULL  8042.639 165.287 17.737 0.022 0x00
OBS: 59305.59 Y NULL  6339.110 167.919 17.995 0.028 0x00
OBS: 59312.43 Y NULL  6248.997 127.898 18.01 0.022 0x00
OBS: 59322.50 Y NULL  10149.727 107.590 17.483999999999998 0.011 0x00
OBS: 59327.43 Y NULL  11672.228 117.954 17.332 0.011 0x00
OBS: 59332.30 Y NULL  9487.660 231.081 17.557 0.026 0x00
OBS: 59332.38 Y NULL  9355.693 142.870 17.572 0.016 0x00
OBS: 59292.46 J NULL  8100.410 256.477 17.729 0.034 0x00
OBS: 59295.48 J NULL  9629.684 361.457 17.541 0.041 0x00
OBS: 59306.48 J NULL  5579.763 394.686 18.133 0.077 0x00
OBS: 59322.51 J NULL  5215.063 175.263 18.207 0.036 0x00
OBS: 59327.43 J NULL  5902.787 207.888 18.072 0.038 0x00
OBS: 59332.31 J NULL  3613.405 290.364 18.605 0.087 0x00
OBS: 59332.38 J NULL  3881.234 267.719 18.528 0.075 0x00
OBS: 59294.53 H NULL  7335.151 343.481 17.836 0.051 0x00
OBS: 59305.59 H NULL  7046.627 458.251 17.880 0.071 0x00
OBS: 59312.43 H NULL  6548.902 376.268 17.960 0.062 0x00
OBS: 59322.51 H NULL  8530.612 317.542 17.673 0.040 0x00
OBS: 59327.44 H NULL  9342.049 420.003 17.574 0.049 0x00
OBS: 59332.31 H NULL  6287.415 489.144 18.004 0.084 0x00
OBS: 59332.39 H NULL  6962.984 452.464 17.893 0.071 0x00
END:
