SURVEY:  DEHVILS
SNID:  2021fxy
RA:        198.2565420  deg
DECL:       -19.5125500  deg
MWEBV:    0.082 +- 0.004 MW E(B-V)
REDSHIFT_HELIO: 0.009483 +- 0.0001
REDSHIFT_FINAL: 0.010540 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59306.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 18
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59294.55 Y NULL  99069.040 176.427 15.01 0.002 0x00
OBS: 59299.54 Y NULL  172039.303 227.361 14.411 0.001 0x00
OBS: 59307.36 Y NULL  103978.727 201.106 14.958 0.002 0x00
OBS: 59312.40 Y NULL  81788.383 175.652 15.218 0.002 0x00
OBS: 59317.48 Y NULL  77279.189 187.597 15.28 0.003 0x00
OBS: 59326.47 Y NULL  130014.168 253.464 14.715 0.002 0x00
OBS: 59292.46 J NULL  55202.869 566.055 15.645 0.011 0x00
OBS: 59295.41 J NULL  126327.698 498.501 14.746 0.004 0x00
OBS: 59307.40 J NULL  145951.832 461.267 14.589 0.003 0x00
OBS: 59312.41 J NULL  90705.720 278.361 15.106 0.003 0x00
OBS: 59317.48 J NULL  38420.913 243.219 16.039 0.007 0x00
OBS: 59326.47 J NULL  43367.126 322.860 15.907 0.008 0x00
OBS: 59294.56 H NULL  97743.630 379.464 15.025 0.004 0x00
OBS: 59299.55 H NULL  155510.461 371.729 14.521 0.003 0x00
OBS: 59307.36 H NULL  121245.390 405.786 14.791 0.004 0x00
OBS: 59312.41 H NULL  110281.947 431.406 14.894 0.004 0x00
OBS: 59317.49 H NULL  99020.385 423.673 15.011 0.005 0x00
OBS: 59326.48 H NULL  144398.800 574.500 14.601 0.004 0x00
END:
