SURVEY:  DEHVILS
SNID:  2021ghc
RA:        149.1374580  deg
DECL:       0.7522890  deg
MWEBV:    0.022 +- 0.001 MW E(B-V)
REDSHIFT_HELIO: 0.046172 +- 0.0001
REDSHIFT_FINAL: 0.047383 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59307.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 13
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59301.36 Y NULL  7756.275 209.400 17.776 0.029 0x00
OBS: 59307.30 Y NULL  6604.069 129.035 17.95 0.021 0x00
OBS: 59311.46 Y NULL  4919.582 242.488 18.27 0.052 0x00
OBS: 59329.24 Y NULL  5012.373 196.431 18.25 0.041 0x00
OBS: 59301.34 J NULL  7180.194 301.606 17.860 0.046 0x00
OBS: 59304.26 J NULL  8024.894 581.737 17.739 0.079 0x00
OBS: 59304.26 J NULL  6839.488 608.871 17.912 0.097 0x00
OBS: 59307.22 J NULL  6517.149 806.696 17.965 0.134 0x00
OBS: 59311.30 J NULL  4839.140 231.248 18.288 0.052 0x00
OBS: 59301.37 H NULL  7381.877 553.168 17.830 0.081 0x00
OBS: 59307.31 H NULL  6566.120 380.180 17.957 0.063 0x00
OBS: 59311.46 H NULL  5049.283 574.440 18.242 0.124 0x00
OBS: 59329.24 H NULL  4855.665 580.568 18.284 0.130 0x00
END:
