SURVEY:  DEHVILS
SNID:  2021glz
RA:        246.2169130  deg
DECL:       45.1809330  deg
MWEBV:    0.006 +- 0.000 MW E(B-V)
REDSHIFT_HELIO: 0.069562 +- 0.0001
REDSHIFT_FINAL: 0.069636 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59307.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 16
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59311.48 Y NULL  4654.266 129.259 18.33 0.029 0x00
OBS: 59321.46 Y NULL  4659.482 110.088 18.329 0.025 0x00
OBS: 59326.55 Y NULL  5094.226 116.576 18.232 0.024 0x00
OBS: 59331.40 Y NULL  4692.453 153.056 18.322 0.034 0x00
OBS: 59349.45 Y NULL  4645.433 117.888 18.332 0.027 0x00
OBS: 59294.57 J NULL  3003.655 157.001 18.806 0.057 0x00
OBS: 59307.53 J NULL  4534.521 161.020 18.359 0.039 0x00
OBS: 59309.52 J NULL  4248.739 163.772 18.429 0.042 0x00
OBS: 59312.48 J NULL  4087.928 346.943 18.471 0.092 0x00
OBS: 59331.41 J NULL  3085.210 303.767 18.777 0.107 0x00
OBS: 59349.46 J NULL  2800.027 186.700 18.882 0.072 0x00
OBS: 59311.48 H NULL  3524.358 368.832 18.632 0.114 0x00
OBS: 59321.46 H NULL  4047.084 401.445 18.482 0.108 0x00
OBS: 59326.56 H NULL  3376.793 359.720 18.679 0.116 0x00
OBS: 59331.41 H NULL  2620.524 547.795 18.954 0.227 0x00
OBS: 59349.46 H NULL  3308.437 389.997 18.701 0.128 0x00
END:
