SURVEY:  DEHVILS
SNID:  2021hiz
RA:        186.4236250  deg
DECL:       7.2283890  deg
MWEBV:    0.022 +- 0.001 MW E(B-V)
REDSHIFT_HELIO: 0.003319 +- 0.0001
REDSHIFT_FINAL: 0.004457 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59321.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 18
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59311.47 Y NULL  272114.168 106.622 13.913 0.000 0x00
OBS: 59320.28 Y NULL  301003.419 210.825 13.804 0.001 0x00
OBS: 59326.45 Y NULL  193242.482 175.796 14.285 0.001 0x00
OBS: 59331.39 Y NULL  176337.643 181.356 14.384 0.001 0x00
OBS: 59354.43 Y NULL  340164.961 144.069 13.671 0.000 0x00
OBS: 59305.39 J NULL  55353.830 723.423 15.642 0.014 0x00
OBS: 59308.35 J NULL  161947.886 513.195 14.477 0.003 0x00
OBS: 59308.35 J NULL  163298.312 492.969 14.468 0.003 0x00
OBS: 59311.43 J NULL  307239.378 850.213 13.781 0.003 0x00
OBS: 59317.25 J NULL  431255.287 1341.872 13.413 0.003 0x00
OBS: 59320.55 J NULL  356119.575 686.524 13.621 0.002 0x00
OBS: 59331.39 J NULL  90480.069 295.482 15.109 0.004 0x00
OBS: 59354.43 J NULL  99136.808 313.162 15.009 0.003 0x00
OBS: 59307.34 H NULL  127776.647 375.641 14.734 0.003 0x00
OBS: 59311.47 H NULL  289575.852 360.738 13.846 0.001 0x00
OBS: 59320.28 H NULL  308142.588 623.369 13.778 0.002 0x00
OBS: 59331.40 H NULL  257405.016 416.212 13.973 0.002 0x00
OBS: 59354.44 H NULL  222483.173 422.462 14.132 0.002 0x00
END:
