SURVEY:  DEHVILS
SNID:  2021huu
RA:        178.6112080  deg
DECL:       55.0739810  deg
MWEBV:    0.009 +- 0.000 MW E(B-V)
REDSHIFT_HELIO: 0.046189 +- 0.0001
REDSHIFT_FINAL: 0.046782 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59323.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 19
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59327.45 Y NULL  4372.585 109.403 18.398 0.026 0x00
OBS: 59331.44 Y NULL  3704.565 163.596 18.578 0.047 0x00
OBS: 59355.24 Y NULL  6925.338 140.617 17.899 0.021 0x00
OBS: 59355.26 Y NULL  6631.600 133.008 17.946 0.021 0x00
OBS: 59361.26 Y NULL  5046.492 106.084 18.243 0.022 0x00
OBS: 59367.24 Y NULL  3869.139 142.686 18.531 0.039 0x00
OBS: 59372.27 Y NULL  2956.791 120.338 18.823 0.043 0x00
OBS: 59311.33 J NULL  3954.014 160.155 18.507 0.044 0x00
OBS: 59312.31 J NULL  4227.236 261.017 18.435 0.067 0x00
OBS: 59319.49 J NULL  6734.960 656.926 17.929 0.106 0x00
OBS: 59327.46 J NULL  3841.648 522.658 18.539 0.148 0x00
OBS: 59367.24 J NULL  536.394 263.080 20.676 0.533 0x00
OBS: 59372.28 J NULL  612.299 251.445 20.533 0.446 0x00
OBS: 59327.45 H NULL  3727.611 443.291 18.571 0.129 0x00
OBS: 59331.45 H NULL  2698.738 518.759 18.922 0.209 0x00
OBS: 59355.25 H NULL  4998.372 640.379 18.253 0.139 0x00
OBS: 59361.27 H NULL  3075.809 336.290 18.780 0.119 0x00
OBS: 59367.25 H NULL  2196.866 436.170 19.145 0.216 0x00
OBS: 59372.28 H NULL  1578.279 392.299 19.505 0.270 0x00
END:
