SURVEY:  DEHVILS
SNID:  2021lug
RA:        259.5964000  deg
DECL:       -0.3876330  deg
MWEBV:    0.318 +- 0.016 MW E(B-V)
REDSHIFT_HELIO: 0.040000 +- 0.0001
REDSHIFT_FINAL: 0.039964 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59354.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 17
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59349.48 Y NULL  7555.276 132.652 17.804 0.019 0x00
OBS: 59354.42 Y NULL  5159.070 106.189 18.219 0.022 0x00
OBS: 59358.54 Y NULL  3768.424 124.947 18.56 0.035 0x00
OBS: 59364.57 Y NULL  2958.428 112.461 18.822 0.040 0x00
OBS: 59369.52 Y NULL  2842.094 123.721 18.866 0.046 0x00
OBS: 59374.38 Y NULL  3790.289 106.830 18.553 0.030 0x00
OBS: 59348.41 J NULL  9018.030 371.739 17.612 0.045 0x00
OBS: 59351.44 J NULL  8029.341 357.357 17.738 0.048 0x00
OBS: 59364.57 J NULL  2417.182 173.435 19.042 0.078 0x00
OBS: 59369.53 J NULL  1706.293 213.418 19.420 0.136 0x00
OBS: 59374.38 J NULL  1680.462 170.613 19.436 0.110 0x00
OBS: 59349.48 H NULL  7300.963 388.188 17.842 0.058 0x00
OBS: 59354.42 H NULL  5096.735 358.714 18.232 0.076 0x00
OBS: 59358.55 H NULL  3754.724 432.849 18.564 0.125 0x00
OBS: 59364.58 H NULL  3104.779 322.624 18.770 0.113 0x00
OBS: 59369.53 H NULL  3075.527 347.984 18.780 0.123 0x00
OBS: 59374.38 H NULL  3763.071 333.508 18.561 0.096 0x00
END:
