SURVEY:  DEHVILS
SNID:  2021mim
RA:        235.0890210  deg
DECL:       7.2815280  deg
MWEBV:    0.041 +- 0.002 MW E(B-V)
REDSHIFT_HELIO: 0.038233 +- 0.0001
REDSHIFT_FINAL: 0.038703 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59362.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 24
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59359.56 Y NULL  8464.464 247.433 17.681 0.031 0x00
OBS: 59362.28 Y NULL  7098.658 223.760 17.872 0.033 0x00
OBS: 59365.26 Y NULL  6518.728 192.213 17.965 0.031 0x00
OBS: 59370.25 Y NULL  5250.641 166.236 18.199 0.033 0x00
OBS: 59375.24 Y NULL  5830.415 183.200 18.086 0.033 0x00
OBS: 59380.39 Y NULL  7936.062 247.749 17.751 0.033 0x00
OBS: 59380.42 Y NULL  7934.660 213.405 17.751 0.028 0x00
OBS: 59353.44 J NULL  4704.779 188.613 18.319 0.044 0x00
OBS: 59360.48 J NULL  7695.399 252.269 17.784 0.036 0x00
OBS: 59363.26 J NULL  6586.582 275.398 17.953 0.045 0x00
OBS: 59366.53 J NULL  4567.871 201.794 18.351 0.048 0x00
OBS: 59368.26 J NULL  3110.896 277.943 18.768 0.097 0x00
OBS: 59370.24 J NULL  2167.239 319.235 19.160 0.160 0x00
OBS: 59370.25 J NULL  2270.148 284.240 19.110 0.136 0x00
OBS: 59371.27 J NULL  2772.402 222.212 18.893 0.087 0x00
OBS: 59375.24 J NULL  2276.568 320.026 19.107 0.153 0x00
OBS: 59380.28 J NULL  2998.143 254.028 18.808 0.092 0x00
OBS: 59359.56 H NULL  5639.588 684.350 18.122 0.132 0x00
OBS: 59362.28 H NULL  5510.407 535.250 18.147 0.105 0x00
OBS: 59365.26 H NULL  3407.598 716.170 18.669 0.228 0x00
OBS: 59370.26 H NULL  2789.966 617.135 18.886 0.240 0x00
OBS: 59375.25 H NULL  2621.300 485.330 18.954 0.201 0x00
OBS: 59380.40 H NULL  3934.539 664.342 18.513 0.183 0x00
OBS: 59380.44 H NULL  4255.687 628.349 18.428 0.160 0x00
END:
