SURVEY:  DEHVILS
SNID:  2021pfs
RA:        210.8482500  deg
DECL:       -6.0316390  deg
MWEBV:    0.024 +- 0.001 MW E(B-V)
REDSHIFT_HELIO: 0.008970 +- 0.0001
REDSHIFT_FINAL: 0.009886 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59392.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 21
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59380.28 Y NULL  68266.854 199.197 15.414 0.003 0x00
OBS: 59380.40 Y NULL  68050.103 224.195 15.418 0.003 0x00
OBS: 59388.31 Y NULL  147588.615 271.688 14.577 0.002 0x00
OBS: 59391.24 Y NULL  123567.288 246.958 14.77 0.002 0x00
OBS: 59399.26 Y NULL  75883.069 202.765 15.3 0.003 0x00
OBS: 59428.27 Y NULL  124179.921 228.539 14.765 0.002 0x00
OBS: 59377.24 J NULL  24852.047 519.341 16.512 0.023 0x00
OBS: 59380.29 J NULL  75507.907 282.884 15.305 0.004 0x00
OBS: 59380.35 J NULL  75321.723 333.339 15.308 0.005 0x00
OBS: 59380.41 J NULL  75678.564 330.274 15.303 0.005 0x00
OBS: 59388.25 J NULL  169363.101 733.383 14.428 0.005 0x00
OBS: 59388.31 J NULL  165353.694 352.776 14.454 0.002 0x00
OBS: 59391.24 J NULL  149330.285 408.760 14.565 0.003 0x00
OBS: 59399.26 J NULL  61762.595 299.442 15.523 0.005 0x00
OBS: 59428.27 J NULL  34922.882 334.701 16.142 0.010 0x00
OBS: 59380.29 H NULL  77426.695 487.153 15.278 0.007 0x00
OBS: 59380.41 H NULL  75778.987 584.681 15.301 0.008 0x00
OBS: 59388.32 H NULL  136472.599 541.619 14.662 0.004 0x00
OBS: 59391.25 H NULL  122194.902 587.321 14.782 0.005 0x00
OBS: 59399.27 H NULL  95745.831 562.029 15.047 0.006 0x00
OBS: 59428.28 H NULL  77350.736 750.480 15.279 0.011 0x00
END:
