SURVEY:  DEHVILS
SNID:  2021usd
RA:        275.5139000  deg
DECL:       36.6223310  deg
MWEBV:    0.034 +- 0.002 MW E(B-V)
REDSHIFT_HELIO: 0.028240 +- 0.0001
REDSHIFT_FINAL: 0.027844 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59443.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 19
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59446.36 Y NULL  9209.053 152.368 17.589 0.017 0x00
OBS: 59447.40 Y NULL  8609.585 74.907 17.663 0.009 0x00
OBS: 59450.44 Y NULL  7779.238 128.604 17.773 0.017 0x00
OBS: 59457.32 Y NULL  8209.260 88.159 17.714 0.011 0x00
OBS: 59461.29 Y NULL  9507.235 88.328 17.555 0.010 0x00
OBS: 59471.38 Y NULL  16385.062 101.610 16.964 0.007 0x00
OBS: 59475.27 Y NULL  19628.654 109.232 16.768 0.006 0x00
OBS: 59441.24 J NULL  16449.715 529.074 16.960 0.035 0x00
OBS: 59446.24 J NULL  12761.326 874.236 17.235 0.074 0x00
OBS: 59450.32 J NULL  8377.505 498.182 17.692 0.065 0x00
OBS: 59461.29 J NULL  3445.155 193.819 18.657 0.061 0x00
OBS: 59471.38 J NULL  5850.993 178.661 18.082 0.033 0x00
OBS: 59475.28 J NULL  7410.743 210.426 17.825 0.031 0x00
OBS: 59447.41 H NULL  11418.056 178.202 17.356 0.017 0x00
OBS: 59450.44 H NULL  9427.948 415.470 17.564 0.048 0x00
OBS: 59457.32 H NULL  9242.395 282.291 17.586 0.033 0x00
OBS: 59461.30 H NULL  10477.002 259.439 17.449 0.027 0x00
OBS: 59471.39 H NULL  13577.943 320.928 17.168 0.026 0x00
OBS: 59475.28 H NULL  13530.703 326.373 17.172 0.026 0x00
END:
