SURVEY:  DEHVILS
SNID:  2021zfq
RA:        298.1942500  deg
DECL:       50.5466500  deg
MWEBV:    0.122 +- 0.006 MW E(B-V)
REDSHIFT_HELIO: 0.025965 +- 0.0001
REDSHIFT_FINAL: 0.025332 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59488.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 18
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59482.32 Y NULL  14375.045 111.791 17.106 0.008 0x00
OBS: 59489.28 Y NULL  14147.238 155.150 17.123 0.012 0x00
OBS: 59492.20 Y NULL  12412.962 304.922 17.265 0.026 0x00
OBS: 59497.22 Y NULL  9830.807 180.734 17.519 0.019 0x00
OBS: 59502.26 Y NULL  11887.118 136.264 17.312 0.012 0x00
OBS: 59508.21 Y NULL  16531.227 125.740 16.954 0.008 0x00
OBS: 59481.24 J NULL  13487.333 488.264 17.175 0.039 0x00
OBS: 59484.29 J NULL  18788.215 400.931 16.815 0.023 0x00
OBS: 59487.21 J NULL  17473.991 804.870 16.894 0.050 0x00
OBS: 59497.22 J NULL  4787.468 400.376 18.300 0.091 0x00
OBS: 59502.27 J NULL  4881.985 206.238 18.279 0.046 0x00
OBS: 59508.21 J NULL  7222.826 255.913 17.853 0.038 0x00
OBS: 59482.33 H NULL  13981.557 336.317 17.136 0.026 0x00
OBS: 59489.28 H NULL  12378.427 508.456 17.268 0.045 0x00
OBS: 59492.21 H NULL  10651.057 514.984 17.432 0.052 0x00
OBS: 59497.23 H NULL  10623.134 490.625 17.434 0.050 0x00
OBS: 59502.27 H NULL  11432.545 370.687 17.355 0.035 0x00
OBS: 59508.22 H NULL  13034.263 401.267 17.212 0.033 0x00
END:
