SURVEY:  DEHVILS
SNID:  2021zfs
RA:        323.1242920  deg
DECL:       5.3463110  deg
MWEBV:    0.056 +- 0.003 MW E(B-V)
REDSHIFT_HELIO: 0.019630 +- 0.0001
REDSHIFT_FINAL: 0.018490 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59484.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 18
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59484.30 Y NULL  29304.389 145.665 16.333 0.005 0x00
OBS: 59489.26 Y NULL  19135.143 167.861 16.794999999999998 0.009 0x00
OBS: 59493.22 Y NULL  15307.422 124.825 17.038 0.009 0x00
OBS: 59498.27 Y NULL  15773.814 121.843 17.005 0.008 0x00
OBS: 59503.25 Y NULL  22524.110 199.459 16.618 0.009 0x00
OBS: 59515.25 Y NULL  31211.339 157.161 16.264 0.005 0x00
OBS: 59480.31 J NULL  40442.355 396.237 15.983 0.011 0x00
OBS: 59484.29 J NULL  37835.756 317.084 16.055 0.009 0x00
OBS: 59487.21 J NULL  33561.476 871.164 16.185 0.028 0x00
OBS: 59498.28 J NULL  9919.531 224.000 17.509 0.025 0x00
OBS: 59503.25 J NULL  8081.086 308.006 17.731 0.041 0x00
OBS: 59515.26 J NULL  14434.189 202.178 17.102 0.015 0x00
OBS: 59484.31 H NULL  30331.547 337.316 16.295 0.012 0x00
OBS: 59489.27 H NULL  21675.883 469.319 16.660 0.024 0x00
OBS: 59493.23 H NULL  18532.186 382.308 16.830 0.022 0x00
OBS: 59498.28 H NULL  19898.027 352.528 16.753 0.019 0x00
OBS: 59503.25 H NULL  23672.774 459.644 16.564 0.021 0x00
OBS: 59515.26 H NULL  20913.167 347.588 16.699 0.018 0x00
END:
