SURVEY:  DEHVILS
SNID:  2021zfw
RA:        322.9070000  deg
DECL:       11.8329500  deg
MWEBV:    0.067 +- 0.003 MW E(B-V)
REDSHIFT_HELIO: 0.028837 +- 0.0001
REDSHIFT_FINAL: 0.027690 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59484.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 18
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59480.31 Y NULL  15760.162 96.514 17.006 0.006 0x00
OBS: 59484.30 Y NULL  12772.667 109.832 17.233999999999998 0.009 0x00
OBS: 59487.35 Y NULL  10252.938 95.051 17.473 0.010 0x00
OBS: 59493.24 Y NULL  7823.360 90.934 17.767 0.012 0x00
OBS: 59498.24 Y NULL  9210.958 107.525 17.589 0.012 0x00
OBS: 59503.22 Y NULL  13219.229 180.374 17.197 0.014 0x00
OBS: 59480.31 J NULL  17711.399 371.168 16.879 0.023 0x00
OBS: 59484.21 J NULL  13833.851 1018.862 17.148 0.080 0x00
OBS: 59487.21 J NULL  11850.853 1292.892 17.316 0.118 0x00
OBS: 59493.24 J NULL  4656.565 277.044 18.330 0.065 0x00
OBS: 59498.24 J NULL  4519.456 250.108 18.362 0.060 0x00
OBS: 59503.23 J NULL  5235.984 479.496 18.203 0.099 0x00
OBS: 59480.32 H NULL  14179.214 225.629 17.121 0.017 0x00
OBS: 59484.30 H NULL  11431.839 294.984 17.355 0.028 0x00
OBS: 59487.36 H NULL  10165.248 282.177 17.482 0.030 0x00
OBS: 59493.25 H NULL  7786.881 305.757 17.772 0.043 0x00
OBS: 59498.25 H NULL  8312.993 357.874 17.701 0.047 0x00
OBS: 59503.23 H NULL  11902.033 473.554 17.311 0.043 0x00
END:
